"variable","lag","lag_m","ami","autocorr"
"distance_to_roads",26,3900,0.0615236114672191,0.183552983922146
"distance_to_roads",27,4050,0.0607144140955843,0.174568490133691
"distance_to_roads",28,4200,0.0559613638551801,0.165472955249857
"distance_to_roads",29,4350,0.0499845703304098,0.151457679747574
"distance_to_roads",30,4500,0.0496732648929704,0.138395222221259
"DEM",1,150,2.64467849462428,0.998746715272535
"DEM",2,300,2.29079794546497,0.996134733614686
"DEM",3,450,2.00365470572787,0.992160387076403
"DEM",4,600,1.75763877528337,0.986361619624095
"DEM",5,750,1.5442859784603,0.978387175658987
"DEM",6,900,1.36834590942833,0.968259612188898
"DEM",7,1050,1.22772387543142,0.956162383107913
"DEM",8,1200,1.10780361735421,0.942442042476389
"DEM",9,1350,1.00661554934211,0.927408743149727
"DEM",10,1500,0.919386467298341,0.911337988398122
"DEM",11,1650,0.845079723939013,0.894633850891771
"DEM",12,1800,0.781521962368178,0.877692483650479
"DEM",13,1950,0.72856952870379,0.860807829330403
"DEM",14,2100,0.679112545670922,0.84405235246227
"DEM",15,2250,0.634733495298932,0.827252833164505
"DEM",16,2400,0.602460519514222,0.81043858860616
"DEM",17,2550,0.572067859395855,0.793629077302942
"DEM",18,2700,0.542609343474189,0.776640192527357
"DEM",19,2850,0.519802586889831,0.759224720090257
"DEM",20,3000,0.501138276121257,0.741204396981641
"DEM",21,3150,0.474347611071806,0.722445181148389
"DEM",22,3300,0.444303150893702,0.703131423458949
"DEM",23,3450,0.416564681129497,0.683315040596676
"DEM",24,3600,0.400815926380378,0.663193260813482
"DEM",25,3750,0.382004242101404,0.64290108316465
"DEM",26,3900,0.36263154174927,0.622575357516928
"DEM",27,4050,0.341071326698017,0.602404407575644
"DEM",28,4200,0.328535527732645,0.582680908741912
"DEM",29,4350,0.318266656732754,0.563686995363475
"DEM",30,4500,0.314248866676397,0.545641984286436
"NDBI",1,150,1.02319602840508,0.934778103877947
"NDBI",2,300,0.737980968515354,0.862101123959589
"NDBI",3,450,0.610729634197899,0.796981338388935
"NDBI",4,600,0.521433700753726,0.733524256778712
"NDBI",5,750,0.462906613492307,0.680683338118861
"NDBI",6,900,0.418411974943459,0.640590891275063
"NDBI",7,1050,0.38467061536497,0.611876561195145
"NDBI",8,1200,0.361185232339595,0.591906916390591
"NDBI",9,1350,0.339041003276941,0.576336232619396
"NDBI",10,1500,0.324947167355049,0.562968741732013
"NDBI",11,1650,0.311501502552648,0.552378509284154
"NDBI",12,1800,0.305571623673,0.5442884932633
"NDBI",13,1950,0.298795104717513,0.536809750306837
"NDBI",14,2100,0.292935142554139,0.529093360677448
"NDBI",15,2250,0.281790099706984,0.520172484978395
"NDBI",16,2400,0.273696693841426,0.509794771509129
"NDBI",17,2550,0.25866074721068,0.497513601201028
"NDBI",18,2700,0.248593918144976,0.484562827215658
"NDBI",19,2850,0.237429053081065,0.469758638538462
"NDBI",20,3000,0.222665501910004,0.455206195656262
"NDBI",21,3150,0.213372672423348,0.43949773238619
"NDBI",22,3300,0.200931721560461,0.420859487611549
"NDBI",23,3450,0.19270525970302,0.40013339119749
"NDBI",24,3600,0.183815872573474,0.377595978330801
"NDBI",25,3750,0.171933977313765,0.354322040819025
"NDBI",26,3900,0.153512207280414,0.331955418187029
"NDBI",27,4050,0.14100990478774,0.310753270069633
"NDBI",28,4200,0.128443922058417,0.289427611393976
"NDBI",29,4350,0.118455236494575,0.268668797606191
"NDBI",30,4500,0.113412191381314,0.25123787803302
"BSI",1,150,0.875039478809624,0.918964584735382
"BSI",2,300,0.582382376290986,0.832895982942046
"BSI",3,450,0.45520456620121,0.758301221606599
"BSI",4,600,0.366369430192532,0.680746512830996
"BSI",5,750,0.306358783899077,0.614150696139878
"BSI",6,900,0.262973651396845,0.562549709602756
"BSI",7,1050,0.228658875604844,0.524129346199815
"BSI",8,1200,0.204826502287726,0.495947480485913
"BSI",9,1350,0.186388964262324,0.475707832245555
