"predictor","libsize","direction","rho","ci_lower","ci_upper","p_value","n_nominal","n_eff_clifford","is_pred_to_lst"
"green_density",50,"green_density->LST",0.121266594014526,0.0778494489371354,0.164224635290342,5.33095845245413e-08,2000,453.809918393044,TRUE
"green_density",60,"green_density->LST",0.162060249900875,0.119075137959037,0.204439000821876,3.07087688611318e-13,2000,453.809918393044,TRUE
"green_density",70,"green_density->LST",0.212970523495676,0.170733334745512,0.254426462286881,0,2000,453.809918393044,TRUE
"green_density",80,"green_density->LST",0.267269271708688,0.226086870208972,0.307497969739506,0,2000,453.809918393044,TRUE
"green_density",90,"green_density->LST",0.323035212241271,0.283214292249647,0.361744231950289,0,2000,453.809918393044,TRUE
"green_density",100,"green_density->LST",0.380789849338584,0.342678346543824,0.417650046405476,0,2000,453.809918393044,TRUE
"green_density",110,"green_density->LST",0.441504198196488,0.405520716229052,0.476121447239243,0,2000,453.809918393044,TRUE
"green_density",120,"green_density->LST",0.503135663876493,0.46966214610981,0.53516466088191,0,2000,453.809918393044,TRUE
"green_density",10,"LST->green_density",0.0121435465854138,-0.0317042610602796,0.0559447019335352,0.587297533299968,2000,453.809918393044,FALSE
"green_density",20,"LST->green_density",0.0309966980129269,-0.0128516951238036,0.0747261067060006,0.165844396676146,2000,453.809918393044,FALSE
"green_density",30,"LST->green_density",0.0534765636040038,0.00966829274129488,0.0970799478706911,0.0167677600681992,2000,453.809918393044,FALSE
"green_density",40,"LST->green_density",0.0849074610386807,0.041229968744161,0.12826106075313,0.000143724219594965,2000,453.809918393044,FALSE
"green_density",50,"LST->green_density",0.122775853363552,0.0793720519073846,0.16571501053531,3.62685101951143e-08,2000,453.809918393044,FALSE
"green_density",60,"LST->green_density",0.175371540442414,0.132559553075838,0.217530382687967,2.66453525910038e-15,2000,453.809918393044,FALSE
"green_density",70,"LST->green_density",0.241665037391013,0.199952077934812,0.282503578009623,0,2000,453.809918393044,FALSE
"green_density",80,"LST->green_density",0.313941637878106,0.273879382710539,0.352916316791739,0,2000,453.809918393044,FALSE
"green_density",90,"LST->green_density",0.388415284543355,0.350552367195562,0.425010580285803,0,2000,453.809918393044,FALSE
"green_density",100,"LST->green_density",0.458179241512951,0.422839960009481,0.492127069933739,0,2000,453.809918393044,FALSE
"green_density",110,"LST->green_density",0.525191795918417,0.492702705248712,0.556218769264509,0,2000,453.809918393044,FALSE
"green_density",120,"LST->green_density",0.584454862002962,0.554837308600174,0.61259287930244,0,2000,453.809918393044,FALSE
"distance_to_water",10,"distance_to_water->LST",0.160238589269179,0.117231017756501,0.20264625482392,5.66879876373605e-13,2000,53.6393197401312,TRUE
"distance_to_water",20,"distance_to_water->LST",0.227131039863873,0.18514327617121,0.268291037220659,0,2000,53.6393197401312,TRUE
"distance_to_water",30,"distance_to_water->LST",0.275539099051688,0.234540746834728,0.315558983036622,0,2000,53.6393197401312,TRUE
"distance_to_water",40,"distance_to_water->LST",0.327300023524787,0.287594888408997,0.365882061403283,0,2000,53.6393197401312,TRUE
"distance_to_water",50,"distance_to_water->LST",0.376323218465451,0.338068591210723,0.413336334578066,0,2000,53.6393197401312,TRUE
"distance_to_water",60,"distance_to_water->LST",0.420609894127395,0.383855617685568,0.456033518711495,0,2000,53.6393197401312,TRUE
"distance_to_water",70,"distance_to_water->LST",0.458919230772043,0.423609135696806,0.492836820799262,0,2000,53.6393197401312,TRUE
"distance_to_water",80,"distance_to_water->LST",0.493237149030666,0.459336635438897,0.525702887678207,0,2000,53.6393197401312,TRUE
"distance_to_water",90,"distance_to_water->LST",0.532799078334349,0.500660101349809,0.563471222157499,0,2000,53.6393197401312,TRUE
"distance_to_water",100,"distance_to_water->LST",0.581395503188347,0.55162160295478,0.609689649178679,0,2000,53.6393197401312,TRUE
"distance_to_water",110,"distance_to_water->LST",0.641353808018443,0.614805763538007,0.666450072333499,0,2000,53.6393197401312,TRUE
"distance_to_water",120,"distance_to_water->LST",0.710121372037768,0.687695144723068,0.731193694716249,0,2000,53.6393197401312,TRUE
"distance_to_water",10,"LST->distance_to_water",0.0491663901494579,0.00534698029724018,0.0927973437046654,0.0278962057202139,2000,53.6393197401312,FALSE
"distance_to_water",20,"LST->distance_to_water",0.0893507573325868,0.0456987961214344,0.132662141643391,6.29702575094537e-05,2000,53.6393197401312,FALSE
"distance_to_water",30,"LST->distance_to_water",0.137956261093491,0.0946979433915593,0.180694578505531,5.81451331527205e-10,2000,53.6393197401312,FALSE
"distance_to_water",40,"LST->distance_to_water",0.192759516861127,0.150197577931834,0.234608284134221,0,2000,53.6393197401312,FALSE
