"predictor","group","n_nominal","n_eff_clifford","rho_pred_to_LST","rho_LST_to_pred","p_fwd","p_rev","ci_fwd_lower","ci_fwd_upper","ci_rev_lower","ci_rev_upper","kendall_fwd","kendall_fwd_p","kendall_rev","kendall_rev_p","direction"
"built_density","causal",2000,89.4143123511111,0.638620441538791,0.693890188257112,0,0,0.611917904627304,0.663868803713207,0.67045023112787,0.715946430613013,1,4.17535139796144e-09,1,4.17535139796144e-09,"LST -> built_density"
"green_density","causal",2000,453.809918393044,0.503135663876493,0.584454862002962,0,0,0.46966214610981,0.53516466088191,0.554837308600174,0.61259287930244,1,4.17535139796144e-09,1,4.17535139796144e-09,"LST -> green_density"
"distance_to_water","causal",2000,53.6393197401312,0.710121372037768,0.66267403514021,0,0,0.687695144723068,0.731193694716249,0.637355488457135,0.686563310086138,1,4.17535139796144e-09,1,4.17535139796144e-09,"distance_to_water -> LST"
"distance_to_roads","causal",2000,567.23398051302,0.550246572473613,0.583721962277923,0,0,0.518931127595642,0.580087069329143,0.554066873826026,0.611897450903922,1,4.17535139796144e-09,1,4.17535139796144e-09,"both significant"
"DEM","causal",2000,123.801662977872,0.720333529623482,0.615936480169607,0,0,0.698558095170258,0.740776022096266,0.587979265127076,0.642423850898596,1,4.17535139796144e-09,1,4.17535139796144e-09,"DEM -> LST"
"NDBI","associative",2000,94.771568528492,0.683970481942329,0.671572920115888,0,0,0.659923436314245,0.706617677907524,0.646780400232969,0.694947606144774,1,4.17535139796144e-09,1,4.17535139796144e-09,"both significant"
"BSI","associative",2000,158.797760223067,0.644877696732347,0.677806483749993,0,0,0.618529876532624,0.669776987071416,0.65338695242321,0.700816923274255,1,4.17535139796144e-09,1,4.17535139796144e-09,"both significant"
"NDVI","associative",2000,661.59252604112,0.568735453115762,0.502804983949557,0,0,0.538323970959854,0.597667604977475,0.469317053604624,0.534848700892927,1,4.17535139796144e-09,1,4.17535139796144e-09,"NDVI -> LST"
