"predictor","group","n_eff","rho_pred_to_LST","rho_LST_to_pred","p_fwd","p_rev","ci_fwd_lower","ci_fwd_upper","ci_rev_lower","ci_rev_upper","kendall_fwd","kendall_fwd_p","kendall_rev","kendall_rev_p","direction"
"DEM","causal",83.1303711891032,0.720333529623482,0.615936480169607,1.55431223447522e-14,5.55016255177065e-10,0.597587136638638,0.810089790093342,0.461707073159785,0.73401769511213,1,4.17535139796144e-09,1,4.17535139796144e-09,"both significant"
"BSI","associative",139.42303012463,0.644877696732347,0.677806483749993,0,0,0.53610590216642,0.732585122484174,0.576523950208837,0.758574887231976,1,4.17535139796144e-09,1,4.17535139796144e-09,"both significant"
"built_density","causal",76.6729927387354,0.638620441538791,0.693890188257112,4.51403359136293e-10,2.93054469580056e-12,0.483463393853593,0.754872653053055,0.556033662682992,0.794591441824029,1,4.17535139796144e-09,1,4.17535139796144e-09,"both significant"
