"variable","E","k","rho","mae","rmse"
"DEM",7,9,0.994838142904887,0.59796279643629,0.836091494055523
"DEM",7,10,0.994662617927419,0.610220263494715,0.850297297260647
"DEM",7,11,0.994451435584021,0.622394937329692,0.867218341522125
"DEM",7,12,0.994203632972237,0.636506462376869,0.886546170116893
"DEM",7,13,0.993946723592918,0.649330581816833,0.906143064624042
"DEM",7,14,0.993724726882734,0.65958413518194,0.922802453218912
"DEM",7,15,0.993555878240507,0.669222679061785,0.935164932753923
"DEM",7,16,0.993399098492055,0.678924656002893,0.946695990113071
"DEM",7,17,0.993189003957449,0.689384698244894,0.96204866192324
"DEM",8,4,0.995975968566749,0.541015988512766,0.735072518358511
"DEM",8,5,0.995971309648758,0.536987505656669,0.736328370691183
"DEM",8,6,0.995938126818753,0.538890789779946,0.739465950741846
"DEM",8,7,0.995860423772528,0.540010158847168,0.747255340103882
"DEM",8,8,0.995793267102162,0.544658168280567,0.753844248574951
"DEM",8,9,0.995657259984907,0.554988648759782,0.766174156210213
"DEM",8,10,0.995525030698449,0.567805816252315,0.777809874118349
"DEM",8,11,0.99535714880797,0.578416349626253,0.79261253486052
"DEM",8,12,0.995256283740207,0.587226876842399,0.801627408266205
"DEM",8,13,0.995073736616038,0.599102322102035,0.816844211377171
"DEM",8,14,0.994908497330388,0.607142440438078,0.830434535283266
"DEM",8,15,0.994765466629863,0.616043856808959,0.842358053800552
"DEM",8,16,0.994639486430674,0.625318837342541,0.852584016876363
"DEM",8,17,0.994494596726866,0.634310766411737,0.864170226932217
"DEM",9,4,0.99597405530663,0.540399042955744,0.73533780977559
"DEM",9,5,0.996116559850316,0.529027376946748,0.722957484736445
"DEM",9,6,0.996080376259998,0.527740283316694,0.726532427432375
"DEM",9,7,0.995996159359631,0.53029793929284,0.735143221912973
"DEM",9,8,0.995888767822856,0.537193658674131,0.745418880628546
"DEM",9,9,0.995792106515132,0.54557651430429,0.754066482574852
"DEM",9,10,0.995654157792212,0.55464394289255,0.76639358160528
"DEM",9,11,0.995542111323523,0.563436284122043,0.776827650322813
"DEM",9,12,0.995408124617305,0.574401466732827,0.788502042255313
"DEM",9,13,0.995319462565239,0.58300604297113,0.796383376978804
"DEM",9,14,0.995129118450055,0.59439891517703,0.812346526815805
"DEM",9,15,0.994994230877014,0.603000235842481,0.823603964396039
"DEM",9,16,0.994875966811111,0.610945382119263,0.833550138843552
"DEM",9,17,0.994752388467693,0.617925514810472,0.843629057956277
"DEM",10,4,0.996201451048166,0.524343883072865,0.714097343502823
"DEM",10,5,0.996194139733604,0.523489102906605,0.71559777972043
"DEM",10,6,0.996143905251304,0.522300345503533,0.72102456115567
"DEM",10,7,0.99605174828835,0.526749210315452,0.729817830834024
"DEM",10,8,0.995963921521662,0.532082420195489,0.738152974896359
"DEM",10,9,0.995850669157174,0.542163445899792,0.748235076471466
"DEM",10,10,0.995720666813584,0.551459074830308,0.760379272687027
"DEM",10,11,0.995565588880989,0.560796226417466,0.774204457776676
"DEM",10,12,0.995392880109798,0.571863461217505,0.789307128153837
"DEM",10,13,0.995268783357028,0.581217025992106,0.80004941066791
"DEM",10,14,0.99512852350948,0.590784254822396,0.812027862631719
"DEM",10,15,0.995004438051741,0.599217294149596,0.822425107988806
"DEM",10,16,0.994886047618024,0.607716724519076,0.832225593402167
"DEM",10,17,0.99476129243909,0.614800078940119,0.842343787236986
"DEM",11,4,0.996202706662659,0.521166621262433,0.714104951395374
"DEM",11,5,0.996194864875224,0.520806712977771,0.715870551098451
"DEM",11,6,0.99618788684363,0.514164500600717,0.717044223599045
"DEM",11,7,0.996055319370099,0.522090199250657,0.729368304396355
"DEM",11,8,0.99590562698841,0.532187194178702,0.742853108973566
"DEM",11,9,0.995761879832291,0.542925894614051,0.755952818222733
"DEM",11,10,0.995632015067359,0.551066937240653,0.76754735950437
"DEM",11,11,0.995454504091356,0.563155895190137,0.782902890648706
"DEM",11,12,0.995314035880624,0.569996743031277,0.795270151677362
"DEM",11,13,0.995174323423007,0.580884631660784,0.807230959045991
"DEM",11,14,0.995034460585641,0.590179295935139,0.818955264454843
"DEM",11,15,0.994931800467749,0.595733616880414,0.827557447604779
"DEM",11,16,0.994826832173433,0.60240958436058,0.836284265713957
"DEM",11,17,0.994672440698578,0.612034927736771,0.848812411764886
"DEM",12,4,0.996259273715681,0.520335129712652,0.708669220998595
"DEM",12,5,0.996274749714274,0.517094632179098,0.708205711299328
"DEM",12,6,0.996263405857834,0.511010346848899,0.709437700439543
"DEM",12,7,0.996065123305888,0.520769997253222,0.727944864100893
"DEM",12,8,0.995903404586983,0.530505771264276,0.742861790358738
"DEM",12,9,0.995753409619355,0.542765636074279,0.756262708172067
"DEM",12,10,0.995616216352656,0.552187382311355,0.768409716641627
"DEM",12,11,0.995483542556398,0.560188622454833,0.779925555101188
"DEM",12,12,0.99534766535487,0.567053561245788,0.79202644124792
"DEM",12,13,0.99517903954589,0.578410450013018,0.806259692206489
"DEM",12,14,0.995051076838349,0.58857466395411,0.817051475252045
"DEM",12,15,0.994935133902068,0.595161645203376,0.826666155533995
"DEM",12,16,0.994799124721124,0.603264583173871,0.837804231021677
"DEM",12,17,0.994675259759329,0.611549725319912,0.847915047819091
"DEM",13,4,0.996314192398683,0.519056906232421,0.703494518620828
"DEM",13,5,0.99628917896937,0.518868350211674,0.706655419094462
"DEM",13,6,0.996242984788082,0.514287846375515,0.711155783635697
"DEM",13,7,0.996068155017047,0.523936129070051,0.727510072719225
"DEM",13,8,0.995907569245235,0.533843399987016,0.742589423958412
"DEM",13,9,0.9957386544511,0.545627804372495,0.757644997651941
"DEM",13,10,0.995583946740974,0.557080385633454,0.77138519845827
"DEM",13,11,0.99546994440541,0.564754943321157,0.781082771383356
"DEM",13,12,0.995349529921088,0.570322387188299,0.791841274825046
"DEM",13,13,0.995195699913309,0.579717150309436,0.80515633963623
"DEM",13,14,0.995055002016648,0.590207508364097,0.816990217101256
"DEM",13,15,0.994930981404632,0.597764731720592,0.827369239880105
"DEM",13,16,0.994807450225135,0.605759297740865,0.837404164246773
"DEM",13,17,0.994691671908983,0.612368850452253,0.846691178954252
"DEM",14,4,0.996332907892471,0.51605210119299,0.702299763832028
"DEM",14,5,0.996251938149415,0.520808188110143,0.710553550122897
"DEM",14,6,0.996216205479073,0.514766285248786,0.713970452357439
"DEM",14,7,0.996005319191251,0.528291104271377,0.733678385825765
"DEM",14,8,0.995843372246469,0.54086312817432,0.748888422599021
"DEM",14,9,0.995663531622067,0.551315059690382,0.764986615221201
"DEM",14,10,0.995503430612216,0.56170332532219,0.779095326309944
"DEM",14,11,0.995390657794677,0.570313845979715,0.788753358322451
"DEM",14,12,0.99528492780067,0.575505799652674,0.798354412092177
