"predictor","libsize","direction","rho","ci_lower","ci_upper","p_value","n_eff","is_pred_to_lst"
"DEM",10,"DEM->LST",0.0585333418393037,-0.158991599614131,0.270638473250961,0.598851189860717,83.1303711891032,TRUE
"DEM",20,"DEM->LST",0.11457234843013,-0.103502648116117,0.322137212750699,0.301973947677221,83.1303711891032,TRUE
"DEM",30,"DEM->LST",0.174566081057114,-0.0425541590168253,0.375941529322362,0.11418090793929,83.1303711891032,TRUE
"DEM",40,"DEM->LST",0.2358541813792,0.0214239311751691,0.429539463269764,0.0316926518602638,83.1303711891032,TRUE
"DEM",50,"DEM->LST",0.304812881923609,0.0955720481823022,0.488257042843643,0.00504514468671258,83.1303711891032,TRUE
"DEM",60,"DEM->LST",0.372281362539503,0.170436911201205,0.54414203161594,0.000523427830598333,83.1303711891032,TRUE
"DEM",70,"DEM->LST",0.431086802443917,0.237646713190826,0.591638406520288,4.66614659453413e-05,83.1303711891032,TRUE
"DEM",80,"DEM->LST",0.480212833216637,0.295250571274889,0.630480442468409,4.26808194675665e-06,83.1303711891032,TRUE
"DEM",90,"DEM->LST",0.529945427236403,0.354968329531655,0.669050158112382,2.51958777397476e-07,83.1303711891032,TRUE
"DEM",100,"DEM->LST",0.582368178457699,0.419501169861426,0.708910919482271,7.47353245955651e-09,83.1303711891032,TRUE
"DEM",110,"DEM->LST",0.64799584665344,0.502678444018381,0.757698302856176,3.41966455152942e-11,83.1303711891032,TRUE
"DEM",120,"DEM->LST",0.720333529623482,0.597587136638638,0.810089790093342,1.55431223447522e-14,83.1303711891032,TRUE
"DEM",10,"LST->DEM",0.0386933002367483,-0.178312930798117,0.252110167994116,0.728157238640831,83.1303711891032,FALSE
"DEM",20,"LST->DEM",0.0855062226561519,-0.132453922193182,0.295578484782362,0.441765109812531,83.1303711891032,FALSE
"DEM",30,"LST->DEM",0.135229380333451,-0.0827001290227837,0.340815717295154,0.222499396506924,83.1303711891032,FALSE
"DEM",40,"LST->DEM",0.182435553850293,-0.0344377344325794,0.382899808452212,0.0985178773755231,83.1303711891032,FALSE
"DEM",50,"LST->DEM",0.234152220870116,0.01962324170073,0.428069253231342,0.0329808846958255,83.1303711891032,FALSE
"DEM",60,"LST->DEM",0.281422350486342,0.0701583367892658,0.468524675075407,0.0098972862727138,83.1303711891032,FALSE
"DEM",70,"LST->DEM",0.328439197285611,0.121521866439678,0.507999705751063,0.00241440152863071,83.1303711891032,FALSE
"DEM",80,"LST->DEM",0.392702951399381,0.193566181641618,0.560762079264724,0.000237767166546998,83.1303711891032,FALSE
"DEM",90,"LST->DEM",0.453776066696512,0.264083516198911,0.609671029696524,1.61825323603537e-05,83.1303711891032,FALSE
"DEM",100,"LST->DEM",0.516781827026288,0.339021589897231,0.658913629778228,5.5687885325284e-07,83.1303711891032,FALSE
"DEM",110,"LST->DEM",0.570120202835906,0.404274976698415,0.6996697213603,1.79678480982659e-08,83.1303711891032,FALSE
"DEM",120,"LST->DEM",0.615936480169607,0.461707073159785,0.73401769511213,5.55016255177065e-10,83.1303711891032,FALSE
"BSI",10,"BSI->LST",0.0102365011026376,-0.1562766978996,0.17618392189809,0.904653424596368,139.42303012463,TRUE
"BSI",20,"BSI->LST",0.043655511339265,-0.123487964841144,0.208390344627595,0.609297427363664,139.42303012463,TRUE
"BSI",30,"BSI->LST",0.0887511085324853,-0.078656690503905,0.251290657315419,0.298074343051458,139.42303012463,TRUE
"BSI",40,"BSI->LST",0.146769301669275,-0.0199650953680124,0.305560867612456,0.084207587452096,139.42303012463,TRUE
"BSI",50,"BSI->LST",0.215214379631785,0.0507841257788001,0.368284839418822,0.0108263484956259,139.42303012463,TRUE
