"predictor","group","n_nominal","n_eff_clifford","rho_pred_to_LST","rho_LST_to_pred","p_fwd","p_rev","ci_fwd_lower","ci_fwd_upper","ci_rev_lower","ci_rev_upper","kendall_fwd","kendall_fwd_p","kendall_rev","kendall_rev_p","direction"
"built_density","causal",2000,89.4143123511111,0.423957462329694,0.409550164107331,0,0,0.387323958151725,0.459254324010534,0.37240424731976,0.445385988171338,1,4.17535139796144e-09,1,4.17535139796144e-09,"both significant"
"green_density","causal",2000,453.809918393044,0.247981296709284,0.221711618354263,0,0,0.206393709203735,0.288674553028647,0.179626262659765,0.262986889893862,1,4.17535139796144e-09,1,4.17535139796144e-09,"both significant"
"distance_to_water","causal",2000,53.6393197401312,0.57061728461478,0.519539485966054,0,0,0.540299616994047,0.599455424797007,0.486793772537594,0.550827040212645,1,4.17535139796144e-09,1,4.17535139796144e-09,"both significant"
"distance_to_roads","causal",2000,567.23398051302,0.178808271634838,0.179244914304717,8.88178419700125e-16,6.66133814775094e-16,0.136043557699713,0.220907875624282,0.136486282286375,0.221336919686067,1,4.17535139796144e-09,1,4.17535139796144e-09,"both significant"
"DEM","causal",2000,123.801662977872,0.478429186158832,0.486615136136517,0,0,0.443906981785564,0.511533267494433,0.45243407729577,0.519368563035468,1,4.17535139796144e-09,1,4.17535139796144e-09,"both significant"
"NDBI","associative",2000,94.771568528492,0.472167929950177,0.445393835986652,0,0,0.437389008089625,0.505536501227681,0.409558311859141,0.47985698745536,1,4.17535139796144e-09,1,4.17535139796144e-09,"both significant"
"BSI","associative",2000,158.797760223067,0.416108618278117,0.42291218608238,0,0,0.379193580768224,0.451701230185266,0.386240859484388,0.45824872904619,1,4.17535139796144e-09,1,4.17535139796144e-09,"both significant"
"NDVI","associative",2000,661.59252604112,0.306400514521981,0.190031826581279,0,0,0.266143845908566,0.345590232439739,0.147428869119467,0.231930943266846,1,4.17535139796144e-09,1,4.17535139796144e-09,"NDVI -> LST"
