"variable","E","k","rho","mae","rmse"
"DEM",2,4,0.960108365190978,1.77273245288764,2.30714556219058
"DEM",2,5,0.961094248758018,1.74939823521058,2.27793021871022
"DEM",2,6,0.961748606440898,1.73350832543013,2.25775574350621
"DEM",2,7,0.962210810200188,1.72394234140861,2.24338917366965
"DEM",2,8,0.962576121046363,1.71371055359792,2.23253293174305
"DEM",2,9,0.962801885929779,1.70827897071951,2.22560839826367
"DEM",2,10,0.962940835530618,1.7051728971613,2.22141674792315
"DEM",2,11,0.963143899540378,1.69928465359062,2.21529616859106
"DEM",2,12,0.963278894350452,1.69601567407284,2.21123532205442
"DEM",2,13,0.963403037098394,1.69369463506437,2.20745350190503
"DEM",2,14,0.96349085780017,1.69208319185271,2.20471597402303
"DEM",2,15,0.963515484842446,1.69150848708661,2.20394416511562
"DEM",2,16,0.963582900906515,1.68924406735699,2.20198009759833
"DEM",2,17,0.963625279245554,1.68840021230231,2.20065696874376
"DEM",3,4,0.971023113637931,1.47520219766456,1.96438584632543
"DEM",3,5,0.97200077890046,1.46578948262163,1.93052384219926
"DEM",3,6,0.972631496348463,1.45150604215938,1.90816466388053
"DEM",3,7,0.972992784640036,1.44147425529764,1.895402586833
"DEM",3,8,0.973304871833137,1.4334603068143,1.88437998200444
"DEM",3,9,0.973464180487583,1.42712024208246,1.87896862994481
"DEM",3,10,0.973694388937034,1.41915489919696,1.87064859434099
"DEM",3,11,0.973795602336286,1.41733099099028,1.86677048978368
"DEM",3,12,0.973933242075399,1.41199983389424,1.86183907833705
"DEM",3,13,0.974001314843446,1.4104073710344,1.85938354577994
"DEM",3,14,0.974075797658551,1.40692446737304,1.85669835840042
"DEM",3,15,0.974155822857494,1.40371741082663,1.85383450431927
"DEM",3,16,0.974134665852944,1.40557755653925,1.85440647368616
"DEM",3,17,0.974199061296174,1.40534529513247,1.85203656787645
"DEM",4,4,0.981802016908648,1.12067009286289,1.55814900518315
"DEM",4,5,0.98209240950382,1.11334388679385,1.54544147079053
"DEM",4,6,0.982256253491333,1.10927695191458,1.53836656037926
"DEM",4,7,0.982316337597653,1.10802467627001,1.53563121993649
"DEM",4,8,0.982512071056977,1.1090250558053,1.5270843440407
"DEM",4,9,0.982451831270264,1.11266121045104,1.52942484790743
"DEM",4,10,0.982372765541662,1.12237475507315,1.5328374867641
"DEM",4,11,0.982242069000605,1.12626672019634,1.53844731615747
"DEM",4,12,0.982303480059262,1.12800230620512,1.53576726320501
"DEM",4,13,0.982212048923924,1.13269616135564,1.53968554893989
"DEM",4,14,0.982151600919136,1.13602503968672,1.5422893319725
"DEM",4,15,0.982070552471052,1.14012094386257,1.54574861267672
"DEM",4,16,0.981953745596798,1.14563276984084,1.55061119859837
"DEM",4,17,0.981860399172359,1.14878436987037,1.55468799927048
"DEM",5,4,0.990429258058886,0.802235197053871,1.13128282174483
"DEM",5,5,0.990416691840368,0.803078049396148,1.13191804805307
"DEM",5,6,0.990317682196303,0.807427031344118,1.13751931327075
"DEM",5,7,0.990089538585119,0.816963374992388,1.15097490396502
"DEM",5,8,0.989907878561452,0.828317805153448,1.16172060329868
"DEM",5,9,0.989748663762138,0.839156750763639,1.17070873988701
"DEM",5,10,0.989657958749756,0.848440847825066,1.17575793103744
"DEM",5,11,0.989396627286928,0.862517237568804,1.19032224383483
"DEM",5,12,0.989217373091098,0.869076656131154,1.20032822987856
"DEM",5,13,0.98904004270905,0.878667806076365,1.21012244521968
"DEM",5,14,0.988794385203527,0.89215482631586,1.22357737825543
"DEM",5,15,0.988544926506417,0.903864884337065,1.23699014071138
"DEM",5,16,0.988311006664107,0.915105934081965,1.24945549799197
"DEM",5,17,0.988185082302609,0.921823528947786,1.25612567953385
"DEM",6,4,0.994087447945408,0.647546190968645,0.889419803643442
"DEM",6,5,0.994010595777103,0.645924588596544,0.895199698027407
"DEM",6,6,0.993920697211468,0.645466520532068,0.902087952740278
"DEM",6,7,0.993526020306546,0.663782009145802,0.930942160939814
"DEM",6,8,0.993300651901695,0.67947716938152,0.947092298114658
"DEM",6,9,0.993024794387309,0.69559493423522,0.966561284761184
"DEM",6,10,0.992772154356674,0.710938415517384,0.983843614646496
"DEM",6,11,0.992524124744326,0.724908602625812,1.00046800100565
"DEM",6,12,0.992291810533902,0.737159050353664,1.01574752305271
"DEM",6,13,0.992044388200023,0.751127681164365,1.03192793852585
"DEM",6,14,0.991816219638386,0.761111504389689,1.0465240903739
"DEM",6,15,0.99160822705648,0.771164047806502,1.05969284556245
"DEM",6,16,0.991375179506984,0.78156216612735,1.07418733621907
"DEM",6,17,0.991186885427957,0.79056222124115,1.08571165001501
"DEM",7,4,0.99519230396455,0.578803526702312,0.802394374887975
"DEM",7,5,0.99521666032181,0.576364592284365,0.800688640964321
"DEM",7,6,0.995049803347663,0.578083046187422,0.814719145895906
"DEM",7,7,0.994789503060426,0.592527002882632,0.836139085978589
"DEM",7,8,0.99462016958309,0.604607626102433,0.849886429877517
"DEM",7,9,0.994392363726445,0.617237930133065,0.867662112150429
"DEM",7,10,0.994185735650922,0.630274115157289,0.883441019957903
"DEM",7,11,0.993934251919531,0.645314783453525,0.902272998148871
"DEM",7,12,0.993650831875377,0.65973249846678,0.923215255585024
"DEM",7,13,0.993395068423032,0.672876548937044,0.941492900558581
"DEM",7,14,0.993177497136587,0.684836542224,0.956660051166568
"DEM",7,15,0.993004766434255,0.693063432375102,0.968593685296146
"DEM",7,16,0.992796980729437,0.703591952045978,0.982766115475153
"DEM",7,17,0.992609755750813,0.712071336727448,0.995351350829037
"DEM",8,4,0.995724509899966,0.55477250841971,0.757428810804756
