"predictor","group","n_eff","rho_pred_to_LST","rho_LST_to_pred","p_fwd","p_rev","ci_fwd_lower","ci_fwd_upper","ci_rev_lower","ci_rev_upper","kendall_fwd","kendall_fwd_p","kendall_rev","kendall_rev_p","direction"
"built_density","causal",89.4143123511111,0.649833371348524,0.666094298549095,4.9649173661237e-12,9.31699162265431e-13,0.511064205648097,0.755587749885522,0.531941050261129,0.767629376380334,1,4.17535139796144e-09,1,4.17535139796144e-09,"both significant"
"green_density","causal",453.809918393044,0.455328369156809,0.446917678967303,0,0,0.379171186754075,0.52535845815734,0.370093501339622,0.517670759173146,1,4.17535139796144e-09,1,4.17535139796144e-09,"both significant"
"distance_to_water","causal",53.6393197401312,0.717374579027532,0.561355835833695,1.18811560589904e-09,1.08039095674251e-05,0.555837424375235,0.826706085900006,0.344672345834958,0.721245588977707,1,4.17535139796144e-09,1,4.17535139796144e-09,"both significant"
"distance_to_roads","causal",567.23398051302,0.500126551917905,0.526325187305741,0,0,0.435741918515886,0.559419007024292,0.464109537729272,0.583373145915548,1,4.17535139796144e-09,1,4.17535139796144e-09,"both significant"
"DEM","causal",123.801662977872,0.703390723173399,0.647524872735541,0,4.44089209850063e-16,0.601602867678568,0.782700857716939,0.531834624081617,0.73948837224133,1,4.17535139796144e-09,1,4.17535139796144e-09,"both significant"
"NDBI","causal",94.771568528492,0.739278533041038,0.751135602214453,0,0,0.631731273167068,0.81890399030931,0.647488068837307,0.827499008811466,1,4.17535139796144e-09,1,4.17535139796144e-09,"both significant"
"BSI","causal",158.797760223067,0.711404028369961,0.748775430860281,0,0,0.624895047242228,0.780655004271352,0.671317364205765,0.810054127695834,1,4.17535139796144e-09,1,4.17535139796144e-09,"both significant"
"NDVI","causal",661.59252604112,0.553098167623859,0.546036754981014,0,0,0.497863157392208,0.603864194030161,0.490215458286861,0.597396989414401,1,4.17535139796144e-09,1,4.17535139796144e-09,"both significant"
