"predictor","group","n_eff","rho_pred_to_LST","rho_LST_to_pred","p_fwd","p_rev","ci_fwd_lower","ci_fwd_upper","ci_rev_lower","ci_rev_upper","kendall_fwd","kendall_fwd_p","kendall_rev","kendall_rev_p","direction"
"DEM","causal",83.1303711891032,0.671620419903912,0.596811807267273,3.5162983635928e-12,2.53256349225239e-09,0.533293934259295,0.77496562211261,0.437575449509193,0.71975321010686,1,4.17535139796144e-09,1,4.17535139796144e-09,"both significant"
"BSI","associative",139.42303012463,0.607468103262963,0.645081338501542,1.99840144432528e-15,0,0.490785203486365,0.702745185457816,0.536354336591149,0.732746640945156,1,4.17535139796144e-09,1,4.17535139796144e-09,"both significant"
"built_density","causal",76.6729927387354,0.629197151694296,0.672319645817816,9.64986757168163e-10,2.37838637673349e-11,0.471299641814092,0.748014579481285,0.527458805206249,0.779191968488869,1,4.17535139796144e-09,1,4.17535139796144e-09,"both significant"
