"variable","E","k","rho","mae","rmse"
"DEM",2,4,0.736586074340211,4.39296735108843,5.71182562126398
"DEM",2,5,0.739442140030735,4.36476585811605,5.66754779882438
"DEM",2,6,0.743706324019481,4.32562728543523,5.61596819475444
"DEM",2,7,0.746472702369287,4.30713163827386,5.5803304965363
"DEM",2,8,0.748739665013093,4.28251683205911,5.5497368962648
"DEM",2,9,0.750508987294507,4.27218475128301,5.52751921136463
"DEM",2,10,0.752629802347639,4.2525254633013,5.50139257501181
"DEM",2,11,0.753433933543834,4.24634940644675,5.49045991928069
"DEM",2,12,0.753721770083293,4.24253731282914,5.48489064549763
"DEM",2,13,0.754626059127098,4.235635666099,5.47400958921428
"DEM",2,14,0.755190240572,4.22848968378984,5.46688558580944
"DEM",2,15,0.755619536616933,4.22387054489315,5.4611703245945
"DEM",2,16,0.755848254511533,4.2207798916465,5.45817413679275
"DEM",2,17,0.756452300674713,4.21559095543595,5.45060120752493
"DEM",3,4,0.897226806336281,2.34855653442995,3.6383771460761
"DEM",3,5,0.900843102995421,2.33918877691846,3.56842917994209
"DEM",3,6,0.902098684685437,2.33706658080244,3.54310959481596
"DEM",3,7,0.903876349191807,2.32772200549899,3.5098214097437
"DEM",3,8,0.905071778879901,2.32585051296482,3.48731628606247
"DEM",3,9,0.90445431216997,2.34007960227825,3.49744567186144
"DEM",3,10,0.90415737341002,2.35191830332918,3.50195946876601
"DEM",3,11,0.903585734436709,2.3659501367558,3.51157212699301
"DEM",3,12,0.903897402254525,2.3706960037526,3.50560886772247
"DEM",3,13,0.903574426994493,2.38324995095195,3.51081090729824
"DEM",3,14,0.903689269347667,2.38817377582515,3.50852231332023
"DEM",3,15,0.903655840169031,2.39341692653295,3.50893317630754
"DEM",3,16,0.90345792026758,2.40152747957081,3.51224388994874
"DEM",3,17,0.903445714289197,2.40724942342616,3.51227036004954
"DEM",4,4,0.967521865563768,1.20504275257899,2.07027659295159
"DEM",4,5,0.968054499735938,1.21218236087993,2.05349131138622
"DEM",4,6,0.968608408928634,1.2103869121588,2.03617258641849
"DEM",4,7,0.968248417584027,1.2316794530313,2.04790639143653
"DEM",4,8,0.966825016055923,1.26824778815812,2.09264900047255
"DEM",4,9,0.96641733510518,1.29189263258464,2.10576955564436
"DEM",4,10,0.965683382725898,1.31213896190697,2.12854010028428
"DEM",4,11,0.965131085296696,1.3383043041739,2.14571995709949
"DEM",4,12,0.964718529374331,1.35678298953229,2.15820111319786
"DEM",4,13,0.963659309574491,1.38547467684836,2.18971812985868
"DEM",4,14,0.962969014527761,1.40813963116749,2.21016247304349
"DEM",4,15,0.962173707440671,1.43035657095555,2.23337104075719
"DEM",4,16,0.961539178409963,1.44935100388459,2.25191058552972
"DEM",4,17,0.960798068785571,1.46760135019814,2.2730618172635
"DEM",5,4,0.990260502088228,0.725140811732514,1.1411452837346
"DEM",5,5,0.990245973282112,0.734885723392156,1.14271201402328
"DEM",5,6,0.990359732385167,0.743840994767898,1.13713019151154
"DEM",5,7,0.990047164951627,0.76271808038289,1.15582656598991
"DEM",5,8,0.989554353167523,0.781296158288498,1.18429285053996
"DEM",5,9,0.988961118925352,0.80768494797435,1.21752809569056
"DEM",5,10,0.98822408810784,0.830863306322812,1.25745081837775
"DEM",5,11,0.987794576419922,0.851141791144986,1.28021992896029
"DEM",5,12,0.987380847488386,0.869143655142154,1.30171624660555
"DEM",5,13,0.986842207779305,0.890045560696917,1.32952556702525
"DEM",5,14,0.98636486324442,0.909864749286735,1.35353829953287
"DEM",5,15,0.985758051489687,0.930945782264966,1.38334744102437
"DEM",5,16,0.985287357072673,0.947176517351899,1.40604583996827
"DEM",5,17,0.984747831858919,0.965029475490916,1.43149575340203
"DEM",6,4,0.993651579317507,0.609997516296276,0.922850179270678
"DEM",6,5,0.99347987002046,0.609014331316046,0.935587899241357
