"predictor","group","n_eff","rho_pred_to_LST","rho_LST_to_pred","p_fwd","p_rev","ci_fwd_lower","ci_fwd_upper","ci_rev_lower","ci_rev_upper","kendall_fwd","kendall_fwd_p","kendall_rev","kendall_rev_p","direction"
"DEM","causal",83.1303711891032,0.43763942780284,0.505711781988608,3.46319836388442e-05,1.0578074984835e-06,0.245252304521791,0.596862751356702,0.325689647788708,0.650349081510082,1,4.17535139796144e-09,1,4.17535139796144e-09,"both significant"
"BSI","associative",139.42303012463,0.714548425592467,0.797558454454045,0,0,0.622215182169301,0.787274044518069,0.727813361166302,0.850973509774431,1,4.17535139796144e-09,1,4.17535139796144e-09,"both significant"
"built_density","causal",76.6729927387354,0.492740439963512,0.501797340210421,5.56407822038807e-06,3.50063180487581e-06,0.301643633443397,0.645776249641751,0.31254116265569,0.652736410626109,1,4.17535139796144e-09,1,4.17535139796144e-09,"both significant"
