"predictor","libsize","direction","rho","ci_lower","ci_upper","p_value","n_eff","is_pred_to_lst"
"DEM",10,"DEM->LST",0.195324433749259,-0.0210823031475091,0.394247379251398,0.0765569459953994,83.1303711891032,TRUE
"DEM",20,"DEM->LST",0.279477429942122,0.0680574669230793,0.466875480548154,0.0104424696637726,83.1303711891032,TRUE
"DEM",30,"DEM->LST",0.3212281869737,0.113571593358488,0.501993966159924,0.00304217882287672,83.1303711891032,TRUE
"DEM",40,"DEM->LST",0.343680792681503,0.138413828539046,0.520636583291549,0.00145424065784239,83.1303711891032,TRUE
"DEM",50,"DEM->LST",0.345850833788987,0.140828594452286,0.522429491246339,0.0013501629215753,83.1303711891032,TRUE
"DEM",60,"DEM->LST",0.349399843956455,0.144783105763408,0.525358355078847,0.00119439836018875,83.1303711891032,TRUE
"DEM",70,"DEM->LST",0.360595492948077,0.157300924379062,0.534570457469748,0.000803784196205193,83.1303711891032,TRUE
"DEM",80,"DEM->LST",0.378411936489845,0.177357048240651,0.549145588853554,0.000415247239425209,83.1303711891032,TRUE
"DEM",90,"DEM->LST",0.397485044045336,0.199014504247026,0.564634498557883,0.000196173204349392,83.1303711891032,TRUE
"DEM",100,"DEM->LST",0.414918134255646,0.218980764960267,0.578689339064412,9.49064552764334e-05,83.1303711891032,TRUE
"DEM",110,"DEM->LST",0.430629651470063,0.237116984537133,0.591273420595168,4.76313504660375e-05,83.1303711891032,TRUE
"DEM",120,"DEM->LST",0.43763942780284,0.245252304521791,0.596862751356702,3.46319836388442e-05,83.1303711891032,TRUE
"DEM",10,"LST->DEM",0.14370791337979,-0.074106554184891,0.348435484113948,0.194571232386202,83.1303711891032,FALSE
"DEM",20,"LST->DEM",0.22509879545918,0.0100679716647954,0.420231314100961,0.0405952502920954,83.1303711891032,FALSE
"DEM",30,"LST->DEM",0.282650150220884,0.0714855507288182,0.469565116306814,0.0095660793754444,83.1303711891032,FALSE
"DEM",40,"LST->DEM",0.321728164582192,0.114121971294368,0.502410939177803,0.00299434889074934,83.1303711891032,FALSE
"DEM",50,"LST->DEM",0.352440138932375,0.148175983711547,0.527864083906085,0.00107411987744266,83.1303711891032,FALSE
"DEM",60,"LST->DEM",0.374049992940827,0.17243128401974,0.545586780852333,0.000489835845016717,83.1303711891032,FALSE
