"variable","E","k","rho","mae","rmse"
"DEM",2,4,0.997747450975515,0.408743898777268,0.549747569629827
"DEM",2,5,0.997802186423893,0.404009179126271,0.543127425675417
"DEM",2,6,0.997834616784507,0.399914134495773,0.539101313769617
"DEM",2,7,0.997854459411955,0.397367052203631,0.536692173871376
"DEM",2,8,0.997877427544274,0.394290270607959,0.533888014332661
"DEM",2,9,0.997887672850477,0.393005520718928,0.532587797948004
"DEM",2,10,0.997899564076408,0.391583021985161,0.531095731028339
"DEM",2,11,0.997904263432712,0.390624573732677,0.530500302901429
"DEM",2,12,0.997909426736072,0.390200682283799,0.529833245689007
"DEM",2,13,0.997911780154403,0.389556651698052,0.52956024509863
"DEM",2,14,0.997914220417751,0.389462612510086,0.529259075277211
"DEM",2,15,0.997921657776903,0.388867594876241,0.528330650323979
"DEM",2,16,0.997921770433737,0.38845699882356,0.528308630230466
"DEM",2,17,0.997925459371681,0.387988541513099,0.527853732185767
"DEM",3,4,0.997782747315236,0.399529776314437,0.546073672182151
"DEM",3,5,0.997853200827326,0.391397635263359,0.537440363801152
"DEM",3,6,0.997896909338506,0.386433717736296,0.531987322096413
"DEM",3,7,0.997926983411908,0.383155578553174,0.528165837035323
"DEM",3,8,0.997959439536108,0.379273475853989,0.524135981747191
"DEM",3,9,0.997975621980479,0.376862194205234,0.522081147199769
"DEM",3,10,0.997989524078175,0.374592306275944,0.520274494028721
"DEM",3,11,0.998010259596245,0.372000542113502,0.51758659933311
"DEM",3,12,0.998020591188239,0.370955201096761,0.516300242855027
"DEM",3,13,0.998027316205852,0.370084855449438,0.515429490337699
"DEM",3,14,0.998029485325678,0.369846303176717,0.515146957131481
"DEM",3,15,0.998035433978285,0.368869914183131,0.514365730358515
"DEM",3,16,0.998041979575807,0.368154445445098,0.51353639568714
"DEM",3,17,0.998040575732904,0.36834742131001,0.513712549202148
"DEM",4,4,0.997714850900095,0.404166837020833,0.554686814173399
"DEM",4,5,0.997822835465914,0.392569927460283,0.541721119865395
"DEM",4,6,0.997889694459589,0.386176723394157,0.533468457446629
"DEM",4,7,0.997910010513088,0.385741438918311,0.530882194366628
"DEM",4,8,0.997923397815974,0.383942054006987,0.52908448510555
"DEM",4,9,0.997940764225792,0.381594994422222,0.526949494131367
"DEM",4,10,0.997958026210919,0.379002911942238,0.524617659532695
"DEM",4,11,0.997972346038887,0.377165021652452,0.52268065645279
"DEM",4,12,0.997974945869728,0.375947840685134,0.522344173707822
"DEM",4,13,0.997978451939253,0.375263627293415,0.521911038434154
"DEM",4,14,0.997986668039215,0.374057131645959,0.520916969175304
"DEM",4,15,0.997989984209511,0.373065971022594,0.52046538939797
"DEM",4,16,0.997993927218265,0.372345058035817,0.519933398903873
"DEM",4,17,0.997995612729179,0.371891140388154,0.519673900383061
"DEM",5,4,0.997672321902083,0.412346829737956,0.558864714320193
"DEM",5,5,0.997741320894747,0.402766559774932,0.55071648912682
"DEM",5,6,0.997789632915689,0.39789169882938,0.544999632948914
"DEM",5,7,0.997810913857697,0.395642327257378,0.542405114081423
"DEM",5,8,0.997850194845595,0.391517840089495,0.537708998179946
"DEM",5,9,0.997886465406435,0.387928904157524,0.533140431117349
"DEM",5,10,0.997897330948157,0.385268727212445,0.531822629580835
"DEM",5,11,0.997904098010303,0.384453320594148,0.531098490756833
"DEM",5,12,0.99790834177412,0.38328286797089,0.530552498712876
"DEM",5,13,0.997906344631275,0.383160349076483,0.530889803920386
"DEM",5,14,0.997916523005846,0.381736620193664,0.529586868402633
"DEM",5,15,0.997913722197595,0.382124602105569,0.529940685216441
"DEM",5,16,0.997903888726126,0.382997837862209,0.531182710915268
"DEM",5,17,0.997896364060669,0.383505345238125,0.532139655601018
"DEM",6,4,0.997608046158766,0.416655178760197,0.56651756063694
"DEM",6,5,0.997666745142152,0.408258993527268,0.559583783850871
"DEM",6,6,0.997711100353012,0.405932977144026,0.55442482000439
"DEM",6,7,0.99775871414862,0.401753541203215,0.548751598688382
"DEM",6,8,0.997785593381616,0.398279754964722,0.545430063717121
"DEM",6,9,0.997785729140048,0.398124150615509,0.545394078162565
"DEM",6,10,0.997791083446065,0.39671743237029,0.544844500157883
"DEM",6,11,0.997789639792758,0.396163027269796,0.545070340064264
"DEM",6,12,0.997780114835606,0.396742618507432,0.546188240274345
"DEM",6,13,0.997791518316732,0.395614715290086,0.544731966454226
"DEM",6,14,0.997787055695069,0.396031089349583,0.545303023721246
"DEM",6,15,0.997793206693529,0.395517476392588,0.544581030305472
"DEM",6,16,0.99780294335726,0.39475758089837,0.543412933725864
"DEM",6,17,0.9977897619171,0.394949484034741,0.545037092441716
"DEM",7,4,0.997410079599073,0.434163389373834,0.589108077487917
"DEM",7,5,0.997496458740857,0.425213625426026,0.579441782449688
"DEM",7,6,0.997537391005936,0.420223975353627,0.574804401506308
"DEM",7,7,0.997567497694053,0.416093565776572,0.57137945933074
"DEM",7,8,0.997589603080828,0.413438041466568,0.568729069867432
"DEM",7,9,0.99760054579128,0.413429733873971,0.567417564940233
"DEM",7,10,0.997619569954257,0.410963989166256,0.565219398218401
"DEM",7,11,0.997637375338045,0.409184376040824,0.563159020929635
"DEM",7,12,0.997645352483449,0.408203954464474,0.562260467335968
"DEM",7,13,0.997652344769104,0.407482549327598,0.561486145063825
"DEM",7,14,0.997662079856194,0.407253366715315,0.560427467986164
"DEM",7,15,0.997655122479905,0.407574970191396,0.561264205736833
"DEM",7,16,0.997652495198195,0.406560552442707,0.561591961448424
"DEM",7,17,0.997647906841815,0.406436047114601,0.562169935034768
"DEM",8,4,0.997242200605912,0.443236855826154,0.607896783231248
"DEM",8,5,0.997350318019435,0.436889142927379,0.596045854093964
"DEM",8,6,0.997455898425608,0.427394359827065,0.584296329435176
"DEM",8,7,0.997466606444141,0.425513808196933,0.583168955091053
"DEM",8,8,0.997514890633577,0.420303525579739,0.577469705719228
"DEM",8,9,0.997506731235123,0.420550810555208,0.578452812600344
"DEM",8,10,0.99753377665223,0.41769927206505,0.575419551101329
"DEM",8,11,0.997542127645689,0.416813899042033,0.574487468117772
"DEM",8,12,0.997554600858704,0.415868704804777,0.573038941556571
"DEM",8,13,0.997557956103756,0.414854653269692,0.572664211559467
"DEM",8,14,0.997550575962261,0.414815622178504,0.573593792392089
"DEM",8,15,0.997543430943126,0.415106574100186,0.574510099083249
"DEM",8,16,0.997537263896735,0.415398153934907,0.57517990265045
"DEM",8,17,0.997534747908716,0.415024529856422,0.575558913242894
"DEM",9,4,0.99723040714076,0.452064316550227,0.609131973866661
"DEM",9,5,0.997305361523514,0.443893975751762,0.601004770107185
"DEM",9,6,0.997362749456116,0.441084881028096,0.594653706070913
"DEM",9,7,0.997392853825622,0.435728054910718,0.59135406797728
"DEM",9,8,0.997437759536942,0.431868486711865,0.586379777594806
"DEM",9,9,0.997463372977004,0.428555570266297,0.583561682103621
"DEM",9,10,0.99748785941248,0.425843479538421,0.580761009312359
"DEM",9,11,0.997488205233958,0.423795690208137,0.580777637013551
"DEM",9,12,0.997463809344213,0.42517676149231,0.583577425595232
"DEM",9,13,0.997452594391623,0.425497090015915,0.584941578241938
"DEM",9,14,0.997426587227508,0.426552838117625,0.587826091891697
"DEM",9,15,0.997403787037351,0.427325418167377,0.590454720709397
"DEM",9,16,0.99739355341495,0.428041496133202,0.591613371319636
"DEM",9,17,0.997382511933261,0.42934917213526,0.592895862516077
"DEM",10,4,0.997198070155105,0.457296952987596,0.612934272007738
"DEM",10,5,0.997228011578958,0.45389995725195,0.609806055760852
"DEM",10,6,0.997284829357347,0.445966805951953,0.603685550769493
