"variable","E","k","rho","mae","rmse"
"DEM",2,4,0.986073916461053,1.02791066070365,1.36426462274848
"DEM",2,5,0.986549767849221,1.0115486202391,1.34087280419002
"DEM",2,6,0.986764289533181,1.00163739772078,1.32981853783815
"DEM",2,7,0.987003333068551,0.992458181418834,1.31786710870999
"DEM",2,8,0.987106354470177,0.986992960266994,1.31276118211482
"DEM",2,9,0.987227131146496,0.980625088411511,1.3067031692179
"DEM",2,10,0.98730901830289,0.976482058970273,1.30255388913053
"DEM",2,11,0.987382339213061,0.973288886105016,1.29882590234927
"DEM",2,12,0.987452481208852,0.969944701201283,1.29518630907476
"DEM",2,13,0.987487292945274,0.968027732643704,1.2934122501423
"DEM",2,14,0.987524875565968,0.966135978879953,1.29149798915902
"DEM",2,15,0.987545481796566,0.964638747074328,1.29047851469487
"DEM",2,16,0.987565185913321,0.963734003637797,1.28949557299228
"DEM",2,17,0.987587760610662,0.962624185081406,1.28832923433319
"DEM",3,4,0.987147954747791,0.984251524651046,1.31168592243566
"DEM",3,5,0.987610829926692,0.970230129124715,1.28707061793929
"DEM",3,6,0.98795833385905,0.956840370794493,1.26862872413119
"DEM",3,7,0.988137443337029,0.946410788152539,1.25898775571354
"DEM",3,8,0.988290820790387,0.940505455480562,1.25060537089021
"DEM",3,9,0.988450002238313,0.933490007441585,1.24200526588947
"DEM",3,10,0.988558578213265,0.928971349654439,1.23611712256656
"DEM",3,11,0.988629154089291,0.927339038460954,1.23219846943714
"DEM",3,12,0.988686415552914,0.925844566422087,1.22898930882254
"DEM",3,13,0.988723786750904,0.923999532123217,1.22689963864372
"DEM",3,14,0.988704319639519,0.923471213620151,1.22789313179765
"DEM",3,15,0.988735922586084,0.921215443690728,1.2261105131072
"DEM",3,16,0.988781178053395,0.919684213343472,1.2236257044682
"DEM",3,17,0.98880229235535,0.918829191348699,1.22246403958541
"DEM",4,4,0.989057439343077,0.890291910683196,1.20922588117177
"DEM",4,5,0.989443940695868,0.877272621025088,1.18747854553058
"DEM",4,6,0.989752589497016,0.868976314582761,1.16988689810422
"DEM",4,7,0.98986142757597,0.866933255768425,1.16368361141697
"DEM",4,8,0.989978357617824,0.861679641501489,1.15682126317905
"DEM",4,9,0.989968810059787,0.863311444786822,1.15734692748859
"DEM",4,10,0.990089870685119,0.858947978833679,1.15028912939159
"DEM",4,11,0.990162936633839,0.856283720524577,1.14609367552708
"DEM",4,12,0.990196143644899,0.853961551388129,1.14413648364087
"DEM",4,13,0.99023722649578,0.852122995665536,1.14172479276704
"DEM",4,14,0.990222887031415,0.852372353976143,1.14250377152473
"DEM",4,15,0.990222377191824,0.850649855448467,1.1424867220847
"DEM",4,16,0.990212041082449,0.849949198981162,1.14308258541111
"DEM",4,17,0.990196879781799,0.850480769674325,1.14395624182819
"DEM",5,4,0.990733759340218,0.813937502945906,1.1122195040028
"DEM",5,5,0.990945636144506,0.809561472841073,1.09948237675536
"DEM",5,6,0.991051431022521,0.805518771200574,1.09306808071593
"DEM",5,7,0.991100657904632,0.806362984838257,1.09005766259029
"DEM",5,8,0.991102093529561,0.806073036028493,1.08997757938915
"DEM",5,9,0.991206664807741,0.802690031627353,1.08358009757078
"DEM",5,10,0.991199846195835,0.804050641565043,1.0839942278573
"DEM",5,11,0.991129565094843,0.808618656551382,1.08829353012373
"DEM",5,12,0.991096228583118,0.810795266222567,1.09033667404142
"DEM",5,13,0.991079412834444,0.810152016877171,1.09136999265643
"DEM",5,14,0.991060152233557,0.811490992011594,1.0925404321651
"DEM",5,15,0.991089613700673,0.809681488195286,1.0907462070696
"DEM",5,16,0.99105926913285,0.811394757532528,1.09260234590538
"DEM",5,17,0.991032940438951,0.812619186081069,1.09421513604205
"DEM",6,4,0.992663508486938,0.716108379249901,0.990441959181053
"DEM",6,5,0.992730219993682,0.722002582271366,0.985876880183346
"DEM",6,6,0.992889442587729,0.719424615008625,0.97500528077551
"DEM",6,7,0.992818898065033,0.725984695297789,0.979888945350023
"DEM",6,8,0.992781171779327,0.727607403460663,0.982313325672386
"DEM",6,9,0.992653875294168,0.732699609782592,0.990851900481
"DEM",6,10,0.99259104682534,0.736974012271265,0.995042583798859
"DEM",6,11,0.992547296928334,0.739131078286378,0.997931572879981
"DEM",6,12,0.99249586654106,0.741585649034254,1.00133599087892
"DEM",6,13,0.992380535890612,0.746600981729274,1.00896811842085
"DEM",6,14,0.992307680721826,0.750714804443102,1.01378530303762
"DEM",6,15,0.992245238181185,0.754695682545578,1.01786145076517
"DEM",6,16,0.992188045027427,0.757905309642095,1.02158715883549
"DEM",6,17,0.992119159148915,0.762561586205272,1.02606321024221
"DEM",7,4,0.99412334250212,0.639114920278308,0.88694293954999
"DEM",7,5,0.99408164186322,0.639756129208829,0.889923852400781
"DEM",7,6,0.994136628499597,0.64319462057343,0.88558709060586
"DEM",7,7,0.994033829052166,0.652796191800003,0.893308695146739
"DEM",7,8,0.993923030488734,0.658936058477182,0.901458999601116
"DEM",7,9,0.993808053130777,0.666486835861512,0.909879235945078
"DEM",7,10,0.993708950961569,0.674313830482206,0.917098265035627
"DEM",7,11,0.99360315752464,0.682518384792408,0.924769092828904
"DEM",7,12,0.993443517992103,0.689586889597257,0.936193436144578
"DEM",7,13,0.993341749080895,0.694666328041094,0.943413455205634
"DEM",7,14,0.993269002754276,0.698306021277156,0.948538372194465
"DEM",7,15,0.993144183461387,0.703874641859387,0.957287967499391
"DEM",7,16,0.993066141292432,0.707903918558293,0.962729381989755
"DEM",7,17,0.99295771702075,0.714338280087219,0.970202152209798
"DEM",8,4,0.99496299160228,0.595204858043242,0.821151735478058
"DEM",8,5,0.994912449174364,0.597979932192955,0.825058672267727
"DEM",8,6,0.994901635499164,0.601819280958315,0.825851324509249
"DEM",8,7,0.994835716102781,0.608515658241185,0.831172772818838
"DEM",8,8,0.994694343883055,0.616717759030825,0.842434803097281
"DEM",8,9,0.994505475121498,0.627793447057652,0.857255713413196
"DEM",8,10,0.994343197627429,0.640641765957342,0.869793515571767
"DEM",8,11,0.994227503971609,0.645799641689906,0.878638002558123
"DEM",8,12,0.994102400761221,0.651656005138008,0.88810385867559
"DEM",8,13,0.993958179547467,0.661939467158766,0.898867517079001
