"predictor","group","n_nominal","n_eff_clifford","rho_pred_to_LST","rho_LST_to_pred","p_fwd","p_rev","ci_fwd_lower","ci_fwd_upper","ci_rev_lower","ci_rev_upper","kendall_fwd","kendall_fwd_p","kendall_rev","kendall_rev_p","direction"
"built_density","causal",2000,89.4143123511111,0.432222515303609,0.407662235125538,0,0,0.395891637279119,0.467202430604074,0.370450593697836,0.443567409497618,1,4.17535139796144e-09,1,4.17535139796144e-09,"both significant"
"green_density","causal",2000,453.809918393044,0.232319343861265,0.23681407386072,0,0,0.190427491233508,0.273366645862154,0.195007274158826,0.277761898624347,1,4.17535139796144e-09,1,4.17535139796144e-09,"both significant"
"distance_to_water","causal",2000,53.6393197401312,0.610706078265185,0.421644077336944,0,0,0.582466502355865,0.637473243787195,0.38492700106191,0.457028639401447,1,4.17535139796144e-09,1,4.17535139796144e-09,"distance_to_water -> LST"
"distance_to_roads","causal",2000,567.23398051302,0.227395243981151,0.217794845540818,0,0,0.185412305708319,0.268549557783395,0.175640604669187,0.259151875196709,1,4.17535139796144e-09,1,4.17535139796144e-09,"both significant"
"DEM","causal",2000,123.801662977872,0.51184543512299,0.461092567570887,0,0,0.47875521427255,0.543483498738481,0.425868486993448,0.494921087004262,1,4.17535139796144e-09,1,4.17535139796144e-09,"both significant"
"NDBI","causal",2000,94.771568528492,0.513940406941166,0.519205374368074,0,0,0.480943440635261,0.545483512142162,0.486444585589013,0.550508249950354,1,4.17535139796144e-09,1,4.17535139796144e-09,"both significant"
"BSI","causal",2000,158.797760223067,0.456628550646916,0.509718522544518,0,0,0.42122827241181,0.490639598992635,0.476534045851877,0.541452624815412,1,4.17535139796144e-09,1,4.17535139796144e-09,"both significant"
"NDVI","causal",2000,661.59252604112,0.275046442739573,0.23841024329658,0,0,0.234036952432281,0.315078928096968,0.196634086384811,0.279322329294774,1,4.17535139796144e-09,1,4.17535139796144e-09,"both significant"
