"predictor","libsize","direction","rho","ci_lower","ci_upper","p_value","n_nominal","n_eff_clifford","is_pred_to_lst"
"green_density",100,"LST->green_density",0.19217894277931,0.149608217347196,0.234038479833148,0,2000,453.809918393044,FALSE
"green_density",110,"LST->green_density",0.214484429449774,0.172273044760193,0.255909543021605,0,2000,453.809918393044,FALSE
"green_density",120,"LST->green_density",0.23681407386072,0.195007274158826,0.277761898624347,0,2000,453.809918393044,FALSE
"distance_to_water",10,"distance_to_water->LST",0.198959695045018,0.156493477702509,0.240691654692135,0,2000,53.6393197401312,TRUE
"distance_to_water",20,"distance_to_water->LST",0.257325050162425,0.215929542989827,0.297797188782124,0,2000,53.6393197401312,TRUE
"distance_to_water",30,"distance_to_water->LST",0.301942010458806,0.261572837355652,0.341256616560661,0,2000,53.6393197401312,TRUE
"distance_to_water",40,"distance_to_water->LST",0.34943193599829,0.310354368409091,0.387330542080795,0,2000,53.6393197401312,TRUE
"distance_to_water",50,"distance_to_water->LST",0.396493883563295,0.358900168089797,0.432803259623597,0,2000,53.6393197401312,TRUE
"distance_to_water",60,"distance_to_water->LST",0.436793053242455,0.400632243694137,0.471595272280678,0,2000,53.6393197401312,TRUE
"distance_to_water",70,"distance_to_water->LST",0.465577366914246,0.43053217090937,0.499220854237606,0,2000,53.6393197401312,TRUE
"distance_to_water",80,"distance_to_water->LST",0.493297493024672,0.459399554769996,0.525760593525128,0,2000,53.6393197401312,TRUE
"distance_to_water",90,"distance_to_water->LST",0.524390643093748,0.491864996694619,0.555454709764389,0,2000,53.6393197401312,TRUE
"distance_to_water",100,"distance_to_water->LST",0.561524127621057,0.530756234409925,0.590813874611415,0,2000,53.6393197401312,TRUE
"distance_to_water",110,"distance_to_water->LST",0.591797676683869,0.562558986401844,0.619557870399981,0,2000,53.6393197401312,TRUE
"distance_to_water",120,"distance_to_water->LST",0.610706078265185,0.582466502355865,0.637473243787195,0,2000,53.6393197401312,TRUE
"distance_to_water",10,"LST->distance_to_water",0.0434444305922292,-0.000387239434403104,0.0871094884823879,0.0520649289904405,2000,53.6393197401312,FALSE
"distance_to_water",20,"LST->distance_to_water",0.0798106523181843,0.0361060248820772,0.123210572774088,0.00035330647561338,2000,53.6393197401312,FALSE
"distance_to_water",30,"LST->distance_to_water",0.124125589220617,0.0807338925785495,0.167047692154176,2.55993906073115e-08,2000,53.6393197401312,FALSE
"distance_to_water",40,"LST->distance_to_water",0.164232482599604,0.121274540234595,0.206576382816987,1.46549439250521e-13,2000,53.6393197401312,FALSE
"distance_to_water",50,"LST->distance_to_water",0.206511363445897,0.164166397009606,0.248096628204984,0,2000,53.6393197401312,FALSE
"distance_to_water",60,"LST->distance_to_water",0.255516889446553,0.214083595358953,0.2960323943889,0,2000,53.6393197401312,FALSE
"distance_to_water",70,"LST->distance_to_water",0.293797114743297,0.253227089009478,0.333335551636589,0,2000,53.6393197401312,FALSE
